test,approach,answer,time
email-Enron,DP-WCC,321,4489.427978515625
email-Enron,DP-WCC,322,4489.43115234375
email-Enron,DP-WCC,323,4489.43505859375
email-Enron,DP-WCC,324,4489.43896484375
email-Enron,DP-WCC,325,4489.44287109375
email-Enron,DP-WCC,326,4489.447021484375
email-Enron,DP-WCC,327,4489.451171875
email-Enron,DP-WCC,328,4489.453857421875
email-Enron,DP-WCC,329,4489.4580078125
email-Enron,DP-WCC,330,4489.462158203125
email-Enron,DP-WCC,331,4489.466064453125
email-Enron,DP-WCC,332,4489.469970703125
email-Enron,DP-WCC,333,4489.47412109375
email-Enron,DP-WCC,334,4489.47705078125
email-Enron,DP-WCC,335,4489.48095703125
email-Enron,DP-WCC,336,4489.485107421875
email-Enron,DP-WCC,337,4489.489013671875
email-Enron,DP-WCC,338,4489.4931640625
email-Enron,DP-WCC,339,4489.49609375
email-Enron,DP-WCC,340,4489.5
email-Enron,DP-WCC,341,4489.503173828125
email-Enron,DP-WCC,342,4489.506103515625
email-Enron,DP-WCC,343,4489.510009765625
email-Enron,DP-WCC,344,4489.51416015625
email-Enron,DP-WCC,345,4489.517822265625
email-Enron,DP-WCC,346,4489.52197265625
email-Enron,DP-WCC,347,4489.525146484375
email-Enron,DP-WCC,348,4489.529052734375
email-Enron,DP-WCC,349,4489.532958984375
email-Enron,DP-WCC,350,4489.537109375
email-Enron,DP-WCC,351,4489.5400390625
email-Enron,DP-WCC,352,4489.5439453125
email-Enron,DP-WCC,353,4489.695068359375
email-Enron,DP-WCC,354,4489.708251953125
email-Enron,DP-WCC,355,4489.7470703125
email-Enron,DP-WCC,356,4489.7548828125
email-Enron,DP-WCC,357,4489.759033203125
email-Enron,DP-WCC,358,4489.762939453125
email-Enron,DP-WCC,359,4489.80322265625
email-Enron,DP-WCC,360,4489.83203125
email-Enron,DP-WCC,361,4489.837890625
email-Enron,DP-WCC,362,4489.843017578125
email-Enron,DP-WCC,363,4489.84716796875
email-Enron,DP-WCC,364,4489.85205078125
email-Enron,DP-WCC,365,4489.856201171875
email-Enron,DP-WCC,366,4489.85986328125
email-Enron,DP-WCC,367,4489.864013671875
email-Enron,DP-WCC,368,4489.8681640625
email-Enron,DP-WCC,369,4489.8720703125
email-Enron,DP-WCC,370,4489.8759765625
email-Enron,DP-WCC,371,4489.880126953125
email-Enron,DP-WCC,372,4489.884033203125
email-Enron,DP-WCC,373,4489.88818359375
email-Enron,DP-WCC,374,4489.891845703125
email-Enron,DP-WCC,375,4489.89599609375
email-Enron,DP-WCC,376,4489.900146484375
email-Enron,DP-WCC,377,4489.904052734375
email-Enron,DP-WCC,378,4489.906982421875
email-Enron,DP-WCC,379,4489.9111328125
email-Enron,DP-WCC,380,4489.9150390625
email-Enron,DP-WCC,381,4489.919189453125
email-Enron,DP-WCC,382,4489.9228515625
email-Enron,DP-WCC,383,4489.926025390625
email-Enron,DP-WCC,384,4489.93017578125
email-Enron,DP-WCC,385,4489.933837890625
email-Enron,DP-WCC,386,4489.93798828125
email-Enron,DP-WCC,387,4489.942138671875
email-Enron,DP-WCC,388,4489.946044921875
email-Enron,DP-WCC,389,4489.949951171875
email-Enron,DP-WCC,390,4489.953125
email-Enron,DP-WCC,391,4489.95703125
email-Enron,DP-WCC,392,4489.9599609375
email-Enron,DP-WCC,393,4489.964111328125
email-Enron,DP-WCC,394,4489.968017578125
email-Enron,DP-WCC,395,4489.970947265625
email-Enron,DP-WCC,396,4489.97509765625
email-Enron,DP-WCC,397,4489.97900390625
email-Enron,DP-WCC,398,4489.983154296875
email-Enron,DP-WCC,399,4489.98681640625
email-Enron,DP-WCC,400,4489.989990234375
email-Enron,DP-WCC,401,4489.994140625
email-Enron,DP-WCC,402,4489.998046875
email-Enron,DP-WCC,403,4490.0009765625
email-Enron,DP-WCC,404,4490.005126953125
email-Enron,DP-WCC,405,4490.009033203125
email-Enron,DP-WCC,406,4490.026123046875
email-Enron,DP-WCC,407,4490.030029296875
email-Enron,DP-WCC,408,4490.032958984375
email-Enron,DP-WCC,409,4490.037109375
email-Enron,DP-WCC,410,4490.041015625
email-Enron,DP-WCC,411,4490.0439453125
email-Enron,DP-WCC,412,4490.048095703125
email-Enron,DP-WCC,413,4490.052001953125
email-Enron,DP-WCC,414,4490.054931640625
email-Enron,DP-WCC,415,4490.05908203125
email-Enron,DP-WCC,416,4490.06298828125
email-Enron,DP-WCC,417,4490.06591796875
email-Enron,DP-WCC,418,4490.070068359375
email-Enron,DP-WCC,419,4490.073974609375
email-Enron,DP-WCC,420,4490.0771484375
email-Enron,DP-WCC,421,4490.0810546875
email-Enron,DP-WCC,422,4490.0849609375
email-Enron,DP-WCC,423,4490.088134765625
